
=== OTF2-PRINT ===
=== Events =====================================================================
Event                               Location            Timestamp  Attributes
--------------------------------------------------------------------------------
PROGRAM_BEGIN                              0     7680565476538092  Name: "/g/g90/hkhetaw/FINAL_APPLICATOINS/LULESH/cuda/src/lulesh" <247>, 3 Arguments: "-s" <248>, "144" <249>, "100" <250>
ENTER                                      0     7680565476559381  Region: "MPI_Init" <147>
LEAVE                                      0     7680566602059272  Region: "MPI_Init" <147>
MEASUREMENT_ON_OFF                         0     7680566602072033  Mode: OFF
MEASUREMENT_ON_OFF                         0     7680567398601122  Mode: ON
ENTER                                      0     7680567398619336  Region: "TRACER_WallTime_lulesh" <233>
ENTER                                      0     7680567398621580  Region: "TRACER_Loop" <234>
ENTER                                      0     7680567398621835  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567398621990  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567398622485  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398623387  Request: 15
LEAVE                                      0     7680567398627206  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398627401  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398627635  Request: 16
LEAVE                                      0     7680567398628463  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398628761  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398628954  Request: 17
LEAVE                                      0     7680567398629553  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398629802  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398629959  Request: 18
LEAVE                                      0     7680567398630573  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398630713  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398630879  Request: 19
LEAVE                                      0     7680567398631457  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398631681  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398631825  Request: 20
LEAVE                                      0     7680567398632470  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567398632830  Region: "MPI_Irecv" <153>
MPI_IRECV_REQUEST                          0     7680567398632988  Request: 21
LEAVE                                      0     7680567398633559  Region: "MPI_Irecv" <153>
ENTER                                      0     7680567422460825  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567422461531  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567423813948  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567423814375  Receiver: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 22
LEAVE                                      0     7680567423931868  Region: "MPI_Isend" <162>
ENTER                                      0     7680567423958361  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567423958715  Receiver: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 23
LEAVE                                      0     7680567424009857  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424035379  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567424035732  Receiver: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 24
LEAVE                                      0     7680567424037961  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424057843  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567424058117  Receiver: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 25
LEAVE                                      0     7680567424060684  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424079826  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567424080109  Receiver: 42 ("Master thread" <42>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 26
LEAVE                                      0     7680567424081949  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424100745  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567424100983  Receiver: 37 ("Master thread" <37>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 27
LEAVE                                      0     7680567424102881  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424116927  Region: "MPI_Isend" <162>
MPI_ISEND                                  0     7680567424117141  Receiver: 43 ("Master thread" <43>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 24, Request: 28
LEAVE                                      0     7680567424118810  Region: "MPI_Isend" <162>
ENTER                                      0     7680567424119037  Region: "MPI_Waitall" <206>
MPI_ISEND_COMPLETE                         0     7680567424303521  Request: 22
MPI_ISEND_COMPLETE                         0     7680567424305855  Request: 23
MPI_ISEND_COMPLETE                         0     7680567424306144  Request: 24
MPI_ISEND_COMPLETE                         0     7680567424306362  Request: 25
MPI_ISEND_COMPLETE                         0     7680567424306576  Request: 26
MPI_ISEND_COMPLETE                         0     7680567424306787  Request: 27
MPI_ISEND_COMPLETE                         0     7680567424306961  Request: 28
LEAVE                                      0     7680567424307263  Region: "MPI_Waitall" <206>
ENTER                                      0     7680567424307899  Region: "MPI_Comm_rank" <33>
LEAVE                                      0     7680567424308093  Region: "MPI_Comm_rank" <33>
ENTER                                      0     7680567424308237  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424309048  Sender: 36 ("Master thread" <36>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 15
LEAVE                                      0     7680567424311014  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424328412  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424329339  Sender: 6 ("Master thread" <6>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 16
LEAVE                                      0     7680567424329849  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424347703  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424348102  Sender: 1 ("Master thread" <1>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 504600, Request: 17
LEAVE                                      0     7680567424348542  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424365416  Region: "MPI_Wait" <205>
MPI_IRECV                                  0     7680567424365849  Sender: 7 ("Master thread" <7>), Communicator: "MPI_COMM_WORLD" <1>, Tag: 1024, Length: 3480, Request: 18
LEAVE                                      0     7680567424366275  Region: "MPI_Wait" <205>
ENTER                                      0     7680567424382033  Region: "MPI_Wait" <205>
