	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26
0	0	200	0	200	100	0	0	0	0	200	100	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0	0
1	300	0	200	100	200	100	0	0	0	100	200	100	100	100	100	0	0	0	0	0	0	0	0	0	0	0	0
2	0	300	0	0	100	200	0	0	0	0	100	200	0	100	100	0	0	0	0	0	0	0	0	0	0	0	0
3	300	200	0	0	200	0	200	100	0	100	100	0	200	100	0	100	100	0	0	0	0	0	0	0	0	0	0
4	200	300	200	300	0	200	100	200	100	100	100	100	100	200	100	100	100	100	0	0	0	0	0	0	0	0	0
5	0	200	300	0	300	0	0	100	200	0	100	100	0	100	200	0	100	100	0	0	0	0	0	0	0	0	0
6	0	0	0	300	200	0	0	200	0	0	0	0	100	100	0	200	100	0	0	0	0	0	0	0	0	0	0
7	0	0	0	200	300	200	300	0	200	0	0	0	100	100	100	100	200	100	0	0	0	0	0	0	0	0	0
8	0	0	0	0	200	300	0	300	0	0	0	0	0	100	100	0	100	200	0	0	0	0	0	0	0	0	0
9	300	200	0	200	200	0	0	0	0	0	200	0	200	100	0	0	0	0	200	100	0	100	100	0	0	0	0
10	200	300	200	200	200	200	0	0	0	300	0	200	100	200	100	0	0	0	100	200	100	100	100	100	0	0	0
11	0	200	300	0	200	200	0	0	0	0	300	0	0	100	200	0	0	0	0	100	200	0	100	100	0	0	0
12	200	200	0	300	200	0	200	200	0	300	200	0	0	200	0	200	100	0	100	100	0	200	100	0	100	100	0
13	200	200	200	200	300	200	200	200	200	200	300	200	300	0	200	100	200	100	100	100	100	100	200	100	100	100	100
14	0	200	200	0	200	300	0	200	200	0	200	300	0	300	0	0	100	200	0	100	100	0	100	200	0	100	100
15	0	0	0	200	200	0	300	200	0	0	0	0	300	200	0	0	200	0	0	0	0	100	100	0	200	100	0
16	0	0	0	200	200	200	200	300	200	0	0	0	200	300	200	300	0	200	0	0	0	100	100	100	100	200	100
17	0	0	0	0	200	200	0	200	300	0	0	0	0	200	300	0	300	0	0	0	0	0	100	100	0	100	200
18	0	0	0	0	0	0	0	0	0	300	200	0	200	200	0	0	0	0	0	200	0	200	100	0	0	0	0
19	0	0	0	0	0	0	0	0	0	200	300	200	200	200	200	0	0	0	300	0	200	100	200	100	0	0	0
20	0	0	0	0	0	0	0	0	0	0	200	300	0	200	200	0	0	0	0	300	0	0	100	200	0	0	0
21	0	0	0	0	0	0	0	0	0	200	200	0	300	200	0	200	200	0	300	200	0	0	200	0	200	100	0
22	0	0	0	0	0	0	0	0	0	200	200	200	200	300	200	200	200	200	200	300	200	300	0	200	100	200	100
23	0	0	0	0	0	0	0	0	0	0	200	200	0	200	300	0	200	200	0	200	300	0	300	0	0	100	200
24	0	0	0	0	0	0	0	0	0	0	0	0	200	200	0	300	200	0	0	0	0	300	200	0	0	200	0
25	0	0	0	0	0	0	0	0	0	0	0	0	200	200	200	200	300	200	0	0	0	200	300	200	300	0	200
26	0	0	0	0	0	0	0	0	0	0	0	0	0	200	200	0	200	300	0	0	0	0	200	300	0	300	0
